Project Title,Film Type,Section,Events::c.event_display.txt
Control Room,Documentary Feature,American Spectrum,2004 - Sundance Film Festival
CSA: The Confederate States of America,Dramatic Feature,American Spectrum,2004 - Sundance Film Festival
Dandelion,Dramatic Feature,American Spectrum,2004 - Sundance Film Festival
Dirty Work,Documentary Feature,American Spectrum,2004 - Sundance Film Festival
Everyday People,Dramatic Feature,American Spectrum,2004 - Sundance Film Festival
Lbs.,Dramatic Feature,American Spectrum,2004 - Sundance Film Festival
Let the Church Say Amen,Documentary Feature,American Spectrum,2004 - Sundance Film Festival
Mean Creek,Dramatic Feature,American Spectrum,2004 - Sundance Film Festival
Metallica: Some Kind of Monster,Documentary Feature,American Spectrum,2004 - Sundance Film Festival
MVP,Dramatic Feature,American Spectrum,2004 - Sundance Film Festival
Open Water,Dramatic Feature,American Spectrum,2004 - Sundance Film Festival
Second Best,Dramatic Feature,American Spectrum,2004 - Sundance Film Festival
September Tapes,Dramatic Feature,American Spectrum,2004 - Sundance Film Festival
Speak,Dramatic Feature,American Spectrum,2004 - Sundance Film Festival
Born into Brothels,Documentary Feature,Documentary Competition,2004 - Sundance Film Festival
Chisholm '72?Unbought & Unbossed,Documentary Feature,Documentary Competition,2004 - Sundance Film Festival
Deadline,Documentary Feature,Documentary Competition,2004 - Sundance Film Festival
DIG!,Documentary Feature,Documentary Competition,2004 - Sundance Film Festival
Farmingville,Documentary Feature,Documentary Competition,2004 - Sundance Film Festival
The Fight,Documentary Feature,Documentary Competition,2004 - Sundance Film Festival
Heir to an Execution,Documentary Feature,Documentary Competition,2004 - Sundance Film Festival
Home of the Brave,Documentary Feature,Documentary Competition,2004 - Sundance Film Festival
I Like Killing Flies,Documentary Feature,Documentary Competition,2004 - Sundance Film Festival
Imelda,Documentary Feature,Documentary Competition,2004 - Sundance Film Festival
In the Realms of the Unreal,Documentary Feature,Documentary Competition,2004 - Sundance Film Festival
Neverland: The Rise and Fall of the Symbionese Liberation Army,Documentary Feature,Documentary Competition,2004 - Sundance Film Festival
Persons of Interest,Documentary Feature,Documentary Competition,2004 - Sundance Film Festival
A Place of Our Own,Documentary Feature,Documentary Competition,2004 - Sundance Film Festival
Super Size Me,Documentary Feature,Documentary Competition,2004 - Sundance Film Festival
Word Wars,Documentary Feature,Documentary Competition,2004 - Sundance Film Festival
The Best Thief in the World,Dramatic Feature,Dramatic Competition,2004 - Sundance Film Festival
Book of Love,Dramatic Feature,Dramatic Competition,2004 - Sundance Film Festival
Brother to Brother,Dramatic Feature,Dramatic Competition,2004 - Sundance Film Festival
Chrystal,Dramatic Feature,Dramatic Competition,2004 - Sundance Film Festival
Down to the Bone,Dramatic Feature,Dramatic Competition,2004 - Sundance Film Festival
Easy,Dramatic Feature,Dramatic Competition,2004 - Sundance Film Festival
Evergreen,Dramatic Feature,Dramatic Competition,2004 - Sundance Film Festival
Garden State,Dramatic Feature,Dramatic Competition,2004 - Sundance Film Festival
Harry and Max,Dramatic Feature,Dramatic Competition,2004 - Sundance Film Festival
Maria Full of Grace,Dramatic Feature,Dramatic Competition,2004 - Sundance Film Festival
Napoleon Dynamite,Dramatic Feature,Dramatic Competition,2004 - Sundance Film Festival
November,Dramatic Feature,Dramatic Competition,2004 - Sundance Film Festival
One Point O,Dramatic Feature,Dramatic Competition,2004 - Sundance Film Festival
Primer,Dramatic Feature,Dramatic Competition,2004 - Sundance Film Festival
We Don't Live Here Anymore,Dramatic Feature,Dramatic Competition,2004 - Sundance Film Festival
The Woodsman,Dramatic Feature,Dramatic Competition,2004 - Sundance Film Festival
Below the Belt,Dramatic Feature,Frontier,2004 - Sundance Film Festival
Loma Lynda,Experimental Feature,Frontier,2004 - Sundance Film Festival
The Missing,Dramatic Feature,Frontier,2004 - Sundance Film Festival
Tarnation,Dramatic Feature,Frontier,2004 - Sundance Film Festival
WAR,Dramatic Feature,Frontier,2004 - Sundance Film Festival
AZUMI,Dramatic Feature,Midnight,2004 - Sundance Film Festival
Grand Theft Parsons,,Midnight,2004 - Sundance Film Festival
Haute Tension,Dramatic Feature,Midnight,2004 - Sundance Film Festival
Home of Phobia,Dramatic Feature,Midnight,2004 - Sundance Film Festival
Overnight,Documentary Feature,Midnight,2004 - Sundance Film Festival
The Park,Dramatic Feature,Midnight,2004 - Sundance Film Festival
Raspberry Reich,Dramatic Feature,Midnight,2004 - Sundance Film Festival
